source_column,source_object,default_if_absent,name_a,name_b,transform,unit,status,description
pid,corrected_ema_data,,pid,pid,none,id,implemented,Participant ID
day_num,corrected_ema_data,,day_num,day_num,none,count,implemented,Study day number
row_id,corrected_ema_data,,row_id,row_id,none,id,implemented,Row traceability key. Required in BOTH A and B: pid+day_num alone is not unique (the pipeline itself matches on the pid+day_num+row_id triple).
time_bed_corrected,corrected_ema_data,,bedtime_selfreport_ts,bedtime_postcorrection,none,timestamp,implemented,Bedtime after algorithmic and manual correction. 'selfreport' denotes the data source modality (sleep diary)  not 'unmodified'.
self_diffcalc_sleeponset,corrected_ema_data,,sleeponset_selfreport_ts,sleeponset_postcorrection,none,timestamp,implemented,Sleep onset. Currently an alias of time_sleep_corrected (calculate_sleep_time_end.R:131) -- self-reported SOL is deliberately NOT added; see 2026-08-09 work log section 1.
time_awake_corrected,corrected_ema_data,,awakening_selfreport_ts,awakening_postcorrection,none,timestamp,implemented,Final morning awakening after correction
time_getup_corrected,corrected_ema_data,,getup_selfreport_ts,getup_postcorrection,none,timestamp,implemented,Get out of bed time after correction
self_diffcalc_totalsleeptime_minutes,corrected_ema_data,,tst_minutes,tst_minutes,none,minutes,implemented,Total Sleep Time = sleepperiod - self-reported WASO. Primary outcome. NA when self-reported WASO is missing or untrusted; use sleepperiod_minutes as an upper bound in that case.
self_diffcalc_sol_minutes,corrected_ema_data,,sol_computed_minutes,,none,minutes,implemented,Sleep Onset Latency computed from timestamps (time_sleep - time_bed). Pairs with sol_selfreport_minutes.
sleep_efficiency_pct,corrected_ema_data,,se_percent,,none,percent,implemented,Sleep efficiency on a 0-100 scale = TST / trysleep * 100
self_diffcalc_timeinbed_minutes,corrected_ema_data,,tib_minutes,,none,minutes,implemented,Time in Bed = getup - bedtime. Contains SOL  sleep  WASO and post-awakening time.
self_diffcalc_sleepperiod_minutes,corrected_ema_data,,sleepperiod_minutes,,none,minutes,implemented,Sleep period = awakening - sleep onset. Identical BY CONSTRUCTION to the former trysleep_minutes because this diary records no mid-sleep awakening timestamps. Also serves as the upper bound of TST when WASO is unavailable.
awake_getup_diff_h,corrected_ema_data,,waso_computed_minutes,,x60,minutes,implemented,WASO under this study's operational definition = getup - final awakening. Source column is in HOURS; multiplied by 60 here so it is directly comparable with waso_selfreport_minutes. NOT a substitute for waso_selfreport_minutes: on real data (n=1723 paired) the two have near-identical marginal distributions (both median 10 min; both Q3 20 min) but night-level correlation is r=0.013. Use them as two variables not as two measurements of one quantity.
avg_waso_estimate_am_minutes,corrected_ema_data,,waso_avg_bout_selfreport_minutes,,none,minutes,implemented,Mean duration per awakening bout = self-reported WASO / self-reported bout count. BOTH numerator and denominator are self-reported.
duration_totalmin_sol_estimate_am_mincalc,corrected_ema_data,,sol_selfreport_minutes,sol_selfreport_minutes,none,minutes,implemented,Participant's own SOL estimate. Pairs with sol_computed_minutes for discrepancy analysis.
duration_totalmin_waso_estimate_am_mincalc,corrected_ema_data,,waso_selfreport_minutes,,none,minutes,implemented,Participant's own total WASO estimate. Pairs with waso_computed_minutes but does not track it night to night (r=0.013). Values are heavily rounded to multiples of 5 which attenuates any correlation.
num_waso_estimate_am,corrected_ema_data,,num_waso_bouts_selfreport,,none,count,implemented,Self-reported number of awakenings
duration_totalmin_napstoday_PM_mincalc,corrected_ema_data,,nap_selfreport_totalminutes,,none,minutes,implemented,Self-reported total nap duration. No nap timestamps exist  so nap timing discrepancy cannot be computed.
exercisetoday_PM_totalmin_Light_mincalc,corrected_ema_data,NA,exercise_light_minutes,,none,minutes,implemented,Light exercise duration
exercisetoday_PM_totalmin_Moderate_mincalc,corrected_ema_data,NA,exercise_moderate_minutes,,none,minutes,implemented,Moderate exercise duration
exercisetoday_PM_totalmin_Vigorous_mincalc,corrected_ema_data,NA,exercise_vigorous_minutes,,none,minutes,implemented,Vigorous exercise duration
exercisetoday_PM_totalmin_Strength_mincalc,corrected_ema_data,NA,exercise_strength_minutes,,none,minutes,implemented,Strength training duration
has_correction,corrected_ema_data,,has_correction,has_correction,none,category,implemented,none / algorithmic / manual / both. Distinct from correction_type  which names the specific fix applied.
